Team,Pick,Ringer-KOC,Vecenie-The Athletic,Peek-Yahoo,Woo-SI,O’Donnell-SB Nation,Parrish-CBS Sports,Givony-ESPN,Wasserman-Bleacher Report,Tankathon,Netscouts,Hollinger-The Athletic,SB Nation Blogger Mock Draft
ORL,15,Tyrese Maxey,Kira Lewis Jr.,Kira Lewis Jr.,Tyrese Maxey,RJ Hampton,Patrick Williams,RJ Hampton,Kira Lewis Jr.,Saddiq Bey,RJ Hampton,Aaron Nesmith,Cole Anthony
HOU,16,Precious Achiuwa,Aleksej Pokusevski,Tyrese Maxey,Aaron Nesmith,Saddiq Bey,RJ Hampton,Tyrese Maxey,Tyrese Maxey,Tyrese Maxey,Precious Achiuwa,RJ Hampton,Saddiq Bey
MIN,17,Tyrell Terry,Precious Achiuwa,Precious Achiuwa,Precious Achiuwa,Aleksej Pokusevski,Precious Achiuwa,Aaron Nesmith,Jalen Smith,Precious Achiuwa,Jalen Smith,Precious Achiuwa,Tyrese Maxey
DAL,18,Aleksej Pokusevski,Tyrese Maxey,Aleksej Pokusevski,Aleksej Pokusevski,Josh Green,Tyrese Maxey,Aleksej Pokusevski,Aleksej Pokusevski,Aleksej Pokusevski,Cole Anthony,Aleksej Pokusevski,Aleksej Pokusevski
BRK,19,Aaron Nesmith,RJ Hampton,RJ Hampton,Tyrell Terry,Precious Achiuwa,Jalen Smith,Josh Green,RJ Hampton,Cole Anthony,Isaiah Stewart,Tyrell Terry,Precious Achiuwa
MIA,20,Jalen Smith,Desmond Bane,Jaden McDaniels,Isaiah Stewart,Cole Anthony,Tre Jones,Jalen Smith,Cole Anthony,Jalen Smith,Paul Reed,Jalen Smith,Jalen Smith
PHI,21,Josh Green,Tyrell Terry,Malachi Flynn,Cole Anthony,Desmond Bane,Theo Maledon,Cole Anthony,Desmond Bane,Tyrell Terry,Tyrell Terry,Cole Anthony,Desmond Bane
DEN,22,Isaiah Stewart,Jalen Smith,Josh Green,Jalen Smith,Jalen Smith,Isaiah Stewart,Malachi Flynn,Tyrell Terry,Josh Green,Tyrese Maxey,Theo Maledon,Tyler Bey
UTA,23,Zeke Nnaji,Josh Green,Theo Maledon,Malachi Flynn,Theo Maledon,Josh Green,Desmond Bane,Josh Green,Malachi Flynn,Aleksej Pokusevski,Josh Green,Josh Green
NOP,24,Theo Maledon,Cole Anthony,Jalen Smith,Vernon Carey Jr.,Tyrell Terry,Aleksej Pokusevski,Leandro Bolmaro,Malachi Flynn,Theo Maledon,Theo Maledon,Desmond Bane,Theo Maledon
OKC,25,Jaden McDaniels,Theo Maledon,Isaiah Stewart,Jaden McDaniels,Zeke Nnaji,Malachi Flynn,Jaden McDaniels,Zeke Nnaji,Desmond Bane,Tyler Bey,Jaden McDaniels,Leandro Bolmaro
BOS,26,Leandro Bolmaro,Leandro Bolmaro,Tyler Bey,Leandro Bolmaro,Leandro Bolmaro,Leandro Bolmaro,Theo Maledon,Jaden McDaniels,Leandro Bolmaro,Josh Green,Leandro Bolmaro,Tyrell Terry
NYK,27,Cole Anthony,Isaiah Stewart,Tyrell Terry,Theo Maledon,Robert Woodard II,Desmond Bane,Isaiah Stewart,Payton Pritchard,Tre Jones,Devon Dotson,Malachi Flynn,Malachi Flynn
OKC,28,Desmond Bane,Robert Woodard II,Jahmi’us Ramsey,Desmond Bane,Tyler Bey,Jaden McDaniels,Tyrell Terry,Tyler Bey,Isaiah Stewart,Payton Pritchard,Isaiah Stewart,Grant Riller
TOR,29,Malachi Flynn,Zeke Nnaji,Desmond Bane,Cassius Winston,Malachi Flynn,Cassius Winston,Zeke Nnaji,Isaiah Stewart,Zeke Nnaji,Malachi Flynn,Zeke Nnaji,Jaden McDaniels
BOS,30,Xavier Tillman,Xavier Tillman,Vernon Carey Jr.,Xavier Tillman,Xavier Tillman,Vernon Carey Jr.,Xavier Tillman,Tre Jones,Vernon Carey Jr.,Leandro Bolmaro,Tyler Bey,Isaiah Joe
